roteiro_link,filme_nome,tipo_filme
http://www.portacurtas.com.br/dialogos/desventuras_roteiro.rtf,"DESVENTURAS DE UM DIA OU A VIDA NÃO É UM COMERCIAL DE MARGARINA",CURTA
http://www.roteirodecinema.com.br/banco/deusexmachina.doc,"DEUS EX-MACHINA",CURTA
http://www.roteirodecinema.com.br/roteiros/diante_da_lei.pdf,"DIANTE DA LEI",CURTA
http://www.portacurtas.com.br/dialogos/DISPAROS.rtf,"DISPAROS",CURTA
http://www.portacurtas.com.br/dialogos/RoteiroDMNSLN.rtf,"DO MUNDO NADA SE LEVA",CURTA
http://www.portacurtas.com.br/dialogos/dona_carmela_roteiro.rtf,"DONA CARMELA",CURTA
http://www.casacinepoa.com.br/os-filmes/roteiros/dona-cristina-perdeu-mem%C3%B3ria,"DONA CRISTINA PERDEU A MEMÓRIA",CURTA
http://www.roteirodecinema.com.br/banco/dudaacarteira.doc,"DUDA, A CARTEIRA",CURTA
http://www.roteirodecinema.com.br/banco/elizabeth_vagabunda.pdf,"ELIZABETH VAGABUMDA ",CURTA
http://www.portacurtas.com.br/dialogos/a_encomenda_roteiro.rtf,"ENCOMENDA, A ",CURTA
http://www.portacurtas.com.br/dialogos/Roteiro O Encontro.rtf,"ENCONTRO, O",CURTA
http://www.portacurtas.com.br/dialogos/RoteiroEnsaio.rtf,"ENSAIO",CURTA
http://www.portacurtas.com.br/dialogos/Roteiro.rtf,"ESCONDE-ESCONDE ",CURTA
http://www.portacurtas.com.br/dialogos/espera.rtf,"A ESPERA",CURTA
http://www.escolalobodacunha.com.br/imagens/FACASEMPONTAGALINHASEMPe.pdf,"FACA SEM PONTA, GALINHA SEM PÉ",CURTA
http://www.casacinepoa.com.br/os-filmes/roteiros/felicidade-%C3%A9-estrada,"FELICIDADE É... ESTRADA, A ",CURTA
http://www.portacurtas.com.br/dialogos/flores_da_estrada_dialogos.rtf,"FLORES DA ESTRADA ",CURTA
http://www.portacurtas.com.br/dialogos/gasolina_comum_roteiro.rtf,"GASOLINA COMUM",CURTA
http://www.portacurtas.com.br/dialogos/a_goiabeira.rtf,"GOIABEIRA, A",CURTA
http://www.portacurtas.com.br/dialogos/homens.rtf,"HOMENS   AO MAR",CURTA
http://www.roteirodecinema.com.br/banco/historiareal.doc,"HISTÓRIA REAL",CURTA
http://www.casacinepoa.com.br/index.php?arquivo=filmes_mais&id=275&pagina=45&id_sub=23,"ILHA DAS FLORES",CURTA
http://www.uff.br/oinfernosaovoces/roteiro.pdf,"INFERNO SÃO VOCÊS, O",CURTA
http://www.roteirodecinema.com.br/roteiros/a_invasao_do_alegrete.pdf,"A INVASÃO DO ALEGRETE",CURTA
http://www.roteirodecinema.com.br/banco/a_job.pdf,"JOB THAT SLOWLY KILLS YOU, A",CURTA
http://www.portacurtas.com.br/dialogos/dialogo_a_lata.rtf," LATA, A",CURTA
http://www.portacurtas.com.br/dialogos/leo_1313_roteiro.rtf,"LEO 1313",CURTA
http://www.portacurtas.com.br/dialogos/Li%E7%F5es%20roteiro.rtf,"LIÇÕES DE QUÍMICA",CURTA
http://www.casacinepoa.com.br/os-filmes/roteiros/matadeira,"MATADEIRA, A ",CURTA
http://www.portacurtas.com.br/dialogos/mina_de_fe_roteiro.rtf,"MINA DE FÉ ",CURTA
http://www.portacurtas.com.br/dialogos/Morango - Roteiro Final.rtf,"MORANGO",CURTA
http://www.portacurtas.com.br/dialogos/Morte-di%C3%A1logos.rtf,"MORTE",CURTA
http://www.roteirodecinema.com.br/roteiros/novabandeiraparaanacao.pdf,"NOVA BANDEIRA PARA A NAÇÃO",CURTA
http://www.roteirodecinema.com.br/roteiros/musas_segundotratamento.pdf,"NOVE MUSAS DA MEMÓRIA,AS",CURTA
http://www.lgbcom.com.br/images/thepackage.pdf,"PACOTE, O",CURTA
http://www.roteirodecinema.com.br/roteiros/passageiro_obscuro.pdf,"PASSAGEIRO OBSCURO, O ",CURTA
file:///C:/Documents%20and%20Settings/Fernando%20Mares/My%20Documents/roteirodecinema.com.br/banco/paranoia.doc,"PARANÓIA",CURTA
http://www.lgbcom.com.br/images/Paranoia.pdf,"PARANÓIA",CURTA
http://www.portacurtas.com.br/dialogos/ROT PATO FINAL.rtf,"PATO COM LARANJA ",CURTA
http://www.portacurtas.com.br/dialogos/Peur_et_abandon.rtf,"PEUR ET ABANDON",CURTA
http://www.portacurtas.com.br/dialogos/dialogo_pletora_de_irma.rtf,"PLETORA DE IRMA",CURTA
http://www.lgbcom.com.br/images/primeiroencontro.pdf,"PRIMEIRO ENCONTRO, O ",CURTA
http://www.portacurtas.com.br/dialogos/Jack_White_roteiro.rtf,"QUERO SER JACK WHITE ",CURTA
http://www.portacurtas.com.br/dialogos/Roteiro RATOEIRA.rtf,"RATOEIRA",CURTA
http://www.portacurtas.com.br/dialogos/bemol.rtf,"RÉ BEMOL ",CURTA
http://www.moss.com.br/moss/retrato/RETRATO_aug_03.pdf,"RETRATO DO ARTISTA, O",CURTA
http://www.roteirodecinema.com.br/banco/sexoebeethovenII.doc,"SEXO & BEETHOVEN - O REENCONTRO",CURTA
http://www.portacurtas.com.br/dialogos/sexo_com_objetos_roteiro.rtf,"SEXO COM OBJETOS   INANIMADOS",CURTA
http://www.lgbcom.com.br/images/mrchan.pdf,"SORVETES CASEIROS DO MR. CHAN",CURTA
http://www.casacinepoa.com.br/os-filmes/roteiros/trampolim,"TRAMPOLIM",CURTA
http://www.casacinepoa.com.br/os-filmes/roteiros/tr%C3%AAs-minutos,"TRÊS MINUTOS",CURTA
http://www.portacurtas.com.br/dialogos/velha_história_roteiro.rtf,"VELHA HISTÓRIA",CURTA
http://www.casacinepoa.com.br/os-filmes/roteiros/o-velho-do-saco,"VELHO DO SACO, O ",CURTA
http://www.portacurtas.com.br/dialogos/veludo_e_cacos-de-vidro_dialogos.rtf,"VELUDO & CACOS-DE-VIDRO",CURTA
http://www.portacurtas.com.br/dialogos/verdades%20e%20ruinas1.rtf,"VERDADES E RUÍNAS EM UM ATO",CURTA
http://www.orbeproducoes.com.br/downloads/Entre_a_Cruz_e_a_Caldeira%28Roteiro%29.pdf,"ENTRE A CRUZ E A CALDEIRA",CURTA
http://www.roteirodecinema.com.br/roteiros/picoleboiado.pdf,"PICOLÉ BOIADO",CURTA
http://www.roteirodecinema.com.br/roteiros/funerariadoceu.pdf,"FUNERÁRIA CAMINHO DO CÉU",CURTA
http://www.roteirodecinema.com.br/roteiros/oquesobedesce.pdf,"O QUE SOBE, DESCE ",CURTA
http://www.eufabrico.com/wp-content/uploads/2009/10/3_susana.pdf,"IGUAL  A TRÊS",CURTA
http://www.eufabrico.com/wp-content/uploads/2009/10/O-QUE-TEM-PRA-HOJE.pdf,"O  QUE TEM PRA HOJE",CURTA
http://www.roteirodecinema.com.br/roteiros/inverno.pdf,"INVERNO",CURTA
http://joaonunes.com/wp-content/uploads/o-pedido-v2.pdf,"O PEDIDO",CURTA
http://www.roteirodecinema.com.br/akasha/akasha.pdf,"AKASHA",CURTA
file:///C:/Documents%20and%20Settings/Fernando%20Mares/My%20Documents/roteirodecinema.com.br/banco/oamanha.doc,"AMANHÃ, O ",CURTA
file:///C:/Documents%20and%20Settings/Fernando%20Mares/My%20Documents/roteirodecinema.com.br/banco/amoreseamantes.doc,"AMORES & AMANTES",CURTA
file:///C:/Documents%20and%20Settings/Fernando%20Mares/My%20Documents/roteirodecinema.com.br/banco/umaarmanamao.doc,"ARMA NA MÃO, UMA",CURTA
http://www.roteirodecinema.com.br/atolado.pdf,"ATOLADO",CURTA
http://www.roteirodecinema.com.br/banco/boasnovas_roteiro.doc,"BOAS NOVAS",CURTA
http://www.roteirodecinema.com.br/a_bruxa.pdf,"BRUXA, A",CURTA
http://www.roteirodecinema.com.br/calumbi.pdf,"CALUMBI",CURTA
